stationName,lineName,routeNumber,notOpen
Jabaquara,blue,1,
Jabaquara,orca3,1,
Conceição,blue,2,
São Judas,blue,3,
Saúde,blue,4,
Praça da Árvore,blue,5,
Santa Cruz,blue,6,
Vila Mariana,blue,7,
Ana Rosa,blue,8,
Ana Rosa,green,7,
Paraíso,green,8,
Paraíso,blue,9,
Vergueiro,blue,10,
São Joaquim,blue,11,
Liberdade,blue,12,
Sé,blue,13,
Sé,red,13,
São Bento,blue,14,
Luz,blue,15,
Luz,yellow,1,1,,
Luz,ruby1,1,
Luz,turquoise,1,
Luz,coralexpress,1,
Luz,et1,1,
Luz,et2,1,
Luz,et3,1,
Tiradentes,blue,16,
Armênia,blue,17,
Portuguesa-Tietê,blue,18,
Carandiru,blue,19,
Santana,blue,20,
Jardim São Paulo,blue,21,
Parada Inglesa,blue,22,
Tucuruvi,blue,23,
Vila Prudente,green,1,
Tamanduateí,green,2,
Tamanduateí,turquoise,5,
Tamanduateí,orca2,1,
Sacomã,green,3,
Sacomã,orca2,2,
Alto do Ipiranga,green,4,
Santos - Imigrantes,green,5,
Chácara Klabin,green,6,
Brigadeiro,green,9,
Trianon-Masp,green,10,
Consolação,green,11,
Consolação,paulistanode,1,
Clínicas,green,12,
Sumaré,green,13,
Vila Madalena,green,14,
Vila Madalena,orca1,2,
Corinthians - Itaquera,red,1,
Corinthians - Itaquera,coralexpress,4,
Artur Alvim,red,2,
Patriarca,red,3,
Guilhermina-Esperança,red,4,
Vila Matilde,red,5,
Penha,red,6,
Carrão,red,7,
Tatuapé,red,8,
Tatuapé,coralexpress,3,
Tatuapé,saffire,2,
Belém,red,9,
Bresser-Moóca,red,10,
Brás,red,11,
Brás,turquoise,2,
Brás,coralexpress,2,
Brás,saffire,1,
Pedro II,red,12,
Anhangabaú,red,14,
República,red,15,
República,yellow,2,1,,
Santa Cecília,red,16,
Marechal Deodoro,red,17,
Palmeiras-Barra Funda,red,18,
Palmeiras-Barra Funda,diamond,2,
Capão Redondo,lilac,1,
Campo Limpo,lilac,2,
Vila das Belezas,lilac,3,
Giovanni Gronchi,lilac,4,
Santo Amaro,lilac,5,
Santo Amaro,emerald,13,
Largo Treze,lilac,6,
Higienopólis - Mackenzie,yellow,3,1,,
Paulista,yellow,4,
Paulista,paulistanode,2,
Oscar Freire,yellow,5,1,,
Fradique Coutinho,yellow,6,1,,
Faria Lima,yellow,7,
Pinheiros,yellow,8,
Pinheiros,emerald,6,
Butantã,yellow,9,
São Paulo - Morumbi,yellow,10,1,,
Vila Sônia,yellow,11,1,,
Palmeiras-Barra Funda,ruby1,2,
Água Branca,ruby1,3,
Lapa,ruby1,4,
Piqueri,ruby1,5,
Pirituba,ruby1,6,
Vila Clarice,ruby1,7,
Jaraguá,ruby1,8,
Vila Aurora,ruby1,9,1,,
Perus,ruby1,10,
Caieiras,ruby1,11,
Franco da Rocha,ruby1,12,
Baltazar Fidélis,ruby1,13,
Francisco Morato,ruby1,14,
Francisco Morato,ruby2,1,
Botujuru,ruby2,2,
Campo Limpo Paulista,ruby2,3,
Várzea Paulista,ruby2,4,
Jundiaí,ruby2,5,
Jundiaí,et1,2,
Júlio Prestes,diamond,1,
Lapa,diamond,3,
Domingos de Moraes,diamond,4,
Imperatriz Leopoldina,diamond,5,
Presidente Altino,diamond,6,
Presidente Altino,emerald,2,
Osasco,diamond,7,
Osasco,emerald,1,
Comandante Sampaio,diamond,8,
Quitaúna,diamond,9,
General Miguel Costa,diamond,10,
Carapicuíba,diamond,11,
Santa Terezinha,diamond,12,
Antônio João,diamond,13,
Barueri,diamond,14,
Jadrim Belval,diamond,15,
Jardim Silveira,diamond,16,
Jandira,diamond,17,
Sagrado Coração,diamond,18,
Engenheiro Cardoso,diamond,19,
Itapevi,diamond,20,
Itapevi,diamond2,1,
Ceasa,emerald,3,
Vila Lobos-Jaguaré,emerald,4,
Cidade Universitária,emerald,5,
Cidade Universitária,orca1,1,
Hebraica-Rebouças,emerald,7,
Cidade Jardim,emerald,8,
Vila Olímpia,emerald,9,
Berrini,emerald,10,
Morumbi,emerald,11,
Granja Julieta,emerald,12,
Socorro,emerald,14,
Jurubatuba,emerald,15,
Autódromo,emerald,16,
Primavera-Interlagos,emerald,17,
Grajaú,emerald,18,
Mooca,turquoise,3,
Ipiranga,turquoise,4,
São Caetano,turquoise,6,
Utinga,turquoise,7,
Prefeito Saladino,turquoise,8,
Santo André,turquoise,9,
Capuava,turquoise,10,
Mauá,turquoise,11,
Guapituba,turquoise,12,
Ribeirão Pires,turquoise,13,
Rio Grande da Serra,turquoise,14,
Dom Bosco,coralexpress,5,
José Bonifácio,coralexpress,6,
Guaianases,coralexpress,7,
Guaianases,coral,1,
Antônio Gianetti Neto,coral,2,
Ferraz de Vasconcelos,coral,3,
Poá,coral,4,
Calmon Viana,coral,5,
Calmon Viana,saffire,13,
Suzano,coral,6,
Jundiapeba,coral,7,
Brás Cubas,coral,8,
Mogi das Cruzes,coral,9,
Mogi das Cruzes,et2,2,
Estudantes,coral,10,
Engenheiro Goulart,saffire,3,
USP Leste,saffire,4,
Comendador Ermelino,saffire,5,
São Miguel Paulista,saffire,6,
Jardim Helena-Vila Mara,saffire,7,
Itaim Paulista,saffire,8,
Jardim Romano,saffire,9,
Engenheiro Manoel Feio,saffire,10,
Itaquaquecetuba,saffire,11,
Aracaré,saffire,12,
Zoológico,orca3,2,
Paranapiacaba,et3,3,
Santa Rita,diamond2,2,
Cimenrita,diamond2,3,
Ambuitá,diamond2,4,
Amador Bueno,diamond2,5,
São Mateus,abd284,1,
Santo André,abd284,2,
São Mateus,abd284M,1,
São Bernardo,abd284M,2,
São Mateus,abd285,1,
Ferrazópolis,abd285,2,
Santo André,abd286,1,
Ferrazópolis,abd286,2,
Santo André,abd287,1,
Diadema,abd287,2,
Jabaquara,abd288,1,
Ferrazópolis,abd288,2,
Santo André,abd287p,1,
Piraporinha,abd287p,2,
Piraporinha,abd288p,1,
Ferrazópolis,abd288p,2,
Piraporinha,abd289,1,
Jabaquara,abd289,2,
Diadema,abd290,1,
Jabaquara,abd290,2,
Morumbi,abd376M,1,
Diadema,abd376M,2,
Sônia Maria,abd487,1,
Santo André,abd487,2,
Guarulhos,abs257,1,
Tatuapé,abs257,2,
Guarulhos,abs258,1,
Congonhas,abs258,2,
Guarulhos,abs259,1,
República,abs259,2,
Guarulhos,abs299,1,
Tatuapé,abs299,2,
Guarulhos,abs472,1,
Portuguesa-Tietê,abs472,2,
Palmeiras-Barra Funda,abs472,3,
Santo André,et3,2,
Berrini,abd376,1,
Diadema,abd376,2,